from,to,weight
14657,21367,7
14657,21373,7
14657,21376,7
14657,21500,7
14657,21501,7
14657,21503,7
14657,21505,7
14657,21507,0.5
14657,21509,7
14657,21510,7
14657,21512,7
14657,21513,7
14657,21514,7
14657,21515,7
14657,21516,7
14657,21519,7
14657,21520,7
14657,21521,7
14657,21522,7
14657,21523,7
14657,21524,7
14657,21526,7
14657,21527,7
14657,21528,7
14657,21531,7
14657,21532,2
14657,21537,7
14657,21539,7
14657,21541,7
14657,21542,7
14657,21543,7
14657,21544,7
14657,21546,7
14657,21547,7
14657,21549,7
14657,21550,7
14657,21551,7
14657,21552,7
14657,21553,7
14657,21554,0.5
14657,21555,7
14657,21556,7
14657,21557,7
14657,21558,7
14657,21559,7
14657,21560,7
14657,21561,7
14657,21562,7
14657,21563,7
14657,21564,7
14657,21565,7
14657,21700,7
14657,21701,7
14657,21702,7
14657,21704,7
14657,21705,7
14657,21708,7
14657,21710,7
14657,21714,7
14657,21716,7
14657,21717,7
14657,21718,7
14657,21719,7
14657,21720,7
14657,21721,7
14657,21724,7
14657,21725,7
14657,21727,7
14657,21731,7
14657,21733,7
14657,21734,7
14657,21735,7
14657,21737,7
14657,21742,7
14657,21744,7
14657,21745,7
14657,21748,7
14657,21749,7
14657,21750,3
14657,21751,3
14657,21752,3
14657,21753,2.5
14657,21755,3
14657,29127,4
14657,29143,7
14657,29321,7
14657,29323,7
14657,29346,2
14657,29375,7
14657,29378,0.5
14657,29393,7
14657,29539,7
14657,29541,7
14657,29546,5
14657,29550,7
14657,29565,7
14657,29572,7
14657,29587,1.5
14657,29588,2
14657,29701,7
14657,29717,0.5
14657,29718,7
14657,29759,7
14657,29760,7
14657,29762,7
14657,29769,1
14657,29910,7
14657,29932,7
14657,31102,7
14657,31103,1
14657,39305,2
14657,39308,7
14854,14066,7
14854,14657,7
14854,14863,7
14854,15085,7
14854,15444,2
14854,15445,7
14854,15446,7
14854,15455,7
14854,15621,7
14854,15634,7
14854,20107,7
14854,20124,7
14854,20130,4
14854,20134,6
14854,20136,1
14854,20138,7
14854,20139,7
14854,20301,7
