from,to
2964949642,2891210047
2964949642,225921757
2964949642,234374703
2964949642,2962923040
2964949642,2964174789
2964949642,21157904
2964949642,88784440
2964949642,1071402577
2964949642,1074480192
2964949642,10615232
2964949642,19726613
2964949642,1048784496
2964949642,224285242
2964949642,968650362
2964949642,1078693601356509184
2964949642,2863210809
2964949642,2856787757
2964949642,1080844782
2964949642,234128524
2964949642,278145569
968650362,2955485182
968650362,11651202
968650362,2891210047
968650362,88784440
968650362,2856787757
968650362,291756142
968650362,221162525
968650362,2964174789
968650362,296361085
968650362,21111098
968650362,217543151
968650362,2962923040
968650362,229966028
968650362,1096059529
968650362,2863210809
968650362,225921757
968650362,233737858
968650362,78403308
968650362,382791093
968650362,10615232
968650362,235217558
968650362,1071402577
968650362,600463589
968650362,193794406
968650362,21157904
968650362,21269970
968650362,202206694
968650362,14845376
968650362,13218102
968650362,19726613
968650362,18915145
968650362,264219447
968650362,76649729
968650362,1074480192
968650362,216881337
968650362,339822881
968650362,18632666
968650362,5558312
5558312,234128524
5558312,1080870981877534720
5558312,983348251972816896
5558312,1068481578
5558312,76649729
5558312,19726613
5558312,21111098
5558312,21157904
5558312,217543151
5558312,18061669
5558312,225921757
5558312,264219447
5558312,235217558
5558312,1071402577
5558312,14845376
5558312,18915145
5558312,78403308
5558312,2856787757
5558312,2891210047
5558312,2955485182
5558312,2962923040
5558312,13218102
5558312,234374703
5558312,11651202
5558312,2964174789
5558312,2863210809
5558312,296361085
5558312,202206694
5558312,249787913
5558312,233737858
5558312,968650362
5558312,382791093
5558312,10615232
5558312,291756142
5558312,221162525
5558312,600463589
5558312,18632666
5558312,21269970
476256944,1080844782
476256944,818554054309715969
476256944,22044727
476256944,941080085121175552
476256944,941000686275387392
476256944,18137749
476256944,1058520120
476256944,946549322
476256944,236511574
476256944,803694179079458816
476256944,811313565760163844
476256944,21269970
476256944,75364211
476256944,18632666
476256944,2863210809
476256944,5558312
476256944,78403308
476256944,2964174789
476256944,18915145
476256944,600463589
476256944,296361085
476256944,233737858
476256944,1096059529
476256944,202206694
476256944,382791093
476256944,291756142
476256944,264219447
476256944,1071402577
476256944,21157904
476256944,1099199839
476256944,92186819
476256944,970207298
476256944,1074518754
476256944,1068481578
476256944,109287731
476256944,117501995
476256944,486694111
476256944,10615232
476256944,76649729
476256944,249787913
476256944,7429102
476256944,171598736
476256944,29442313
476256944,250188760
476256944,60828944
476256944,18695134
476256944,242555999
476256944,234374703
476256944,109071031
476256944,242836537
476256944,278124059
476256944,43910797
476256944,29201047
476256944,247334603
476256944,17494010
476256944,224285242
476256944,18061669
476256944,19726613
476256944,76456274
476256944,15324851
476256944,293131808
803694179079458816,60828944
803694179079458816,22044727
803694179079458816,941000686275387392
803694179079458816,1262099252
803694179079458816,515822213
803694179079458816,941080085121175552
803694179079458816,1080844782
803694179079458816,818554054309715969
803694179079458816,899978622416695297
803694179079458816,1068481578
803694179079458816,1099199839
803694179079458816,234374703
803694179079458816,7429102
803694179079458816,250188760
803694179079458816,171598736
803694179079458816,236511574
803694179079458816,21406834
803694179079458816,18137749
803694179079458816,29201047
803694179079458816,15324851
803694179079458816,109071031
803694179079458816,811313565760163844
803694179079458816,224285242
803694179079458816,278124059
803694179079458816,486694111
803694179079458816,242555999
803694179079458816,242836537
803694179079458816,293131808
803694179079458816,109287731
803694179079458816,247334603
803694179079458816,1058520120
803694179079458816,1074518754
803694179079458816,117501995
803694179079458816,946549322
803694179079458816,76456274
803694179079458816,19726613
803694179079458816,92186819
803694179079458816,2167097881
803694179079458816,249787913
803694179079458816,43910797
803694179079458816,29442313
803694179079458816,970207298
803694179079458816,476256944
803694179079458816,17494010
235217558,941080085121175552
235217558,21406834
235217558,264219447
235217558,217543151
235217558,1071402577
235217558,1074480192
235217558,600463589
235217558,968650362
235217558,291756142
235217558,382791093
235217558,339822881
235217558,296361085
235217558,236511574
235217558,229966028
235217558,233737858
235217558,225921757
235217558,5558312
235217558,221162525
235217558,10615232
235217558,13218102
235217558,14845376
235217558,18061669
235217558,18915145
235217558,18632666
235217558,21111098
235217558,19726613
235217558,21157904
